N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
12,18,0.3626392243729324,0.5263157894736842,2,15,12.037399999999968,0.8024933333333312,15,0.0072,40,0.6694231033325195,12.998299999999992,0.8665533333333327,15,0.0304,59,0.8690729141235352,13.2075,0.8805000000000001,15,0.0325,53,0.8117988109588623,13.670599999999984,0.9113733333333324,15,0.0614,89,1.3599369525909424,13.089300000000003,,15,0.031,79,1.2842838764190674,13.122399999999985,,15,0.0274,124,2.06817889213562,13.790999999999997,0.9193999999999996,15,0.0817,148,7.636504650115967,14.056400000000004,0.9370933333333336,15,0.1149,255,11.692287921905518,14.056800000000004,0.9371200000000004,15,0.1149,115,11.30334997177124,14.051300000000008,,15,0.1046,191,12.482907056808472
12,6,0.3847549489337361,0.5263157894736842,2,15,12.018699999999969,0.8012466666666644,15,0.0079,34,0.5492112636566162,13.06589999999998,0.8710599999999986,15,0.0287,50,0.7816581726074219,13.28889999999998,0.8859266666666653,15,0.0321,60,0.9084689617156982,13.68119999999998,0.9120799999999988,15,0.054,82,1.2125351428985596,13.234299999999989,,15,0.0302,82,1.3084981441497805,13.308099999999977,,15,0.0366,103,1.7140309810638428,13.8922,0.9261466666666668,15,0.0882,179,7.199076890945435,13.917699999999984,0.9278466666666656,15,0.0784,227,9.505422830581663,14.016499999999995,0.934433333333333,15,0.0937,178,10.770803928375244,14.046999999999995,0.9364666666666664,15,0.0981,242,15.020023107528688
12,45,0.4414443375224568,0.4736842105263157,2,15,12.16959999999996,0.811306666666664,15,0.0072,31,0.5101020336151123,13.12529999999997,0.875019999999998,15,0.0284,49,0.7372169494628906,13.163199999999984,0.8775466666666656,15,0.0298,54,0.8249058723449707,13.721799999999996,0.9147866666666664,15,0.0559,110,1.6717219352722168,13.260999999999989,,15,0.0323,93,1.5517218112945557,13.144099999999984,,15,0.0363,84,1.4424660205841064,13.965399999999985,0.9310266666666656,15,0.0892,213,9.390774011611938,14.0497,0.9366466666666668,15,0.1026,109,9.43961501121521,13.862099999999998,,15,0.0713,176,9.32334589958191,13.902399999999982,,15,0.0826,190,13.406339168548584
12,14,0.4447339650373987,0.4736842105263157,2,15,11.873199999999972,0.7915466666666648,15,0.0066,37,0.6075749397277832,12.789499999999984,0.8526333333333321,15,0.0319,54,0.837224006652832,13.5515,0.9034333333333334,15,0.0753,71,1.0435669422149658,13.950099999999996,0.9300066666666664,15,0.121,90,1.34136700630188,14.149000000000004,0.9432666666666668,15,0.1588,93,1.431919813156128,13.9549,,15,0.1203,127,1.997300148010254,13.612900000000002,,15,0.0948,139,10.124293088912964,14.073099999999997,,15,0.1457,166,10.666112184524536,13.791799999999997,,15,0.0945,260,11.556811094284058,13.951799999999997,,15,0.1179,165,12.70636534690857
12,10,0.4671187571362427,0.4736842105263157,2,15,11.777399999999965,0.7851599999999975,15,0.0071,34,0.5568101406097412,12.198799999999988,0.8132533333333325,15,0.0148,42,0.6748607158660889,12.738699999999984,0.8492466666666657,15,0.0246,90,1.4468050003051758,13.220199999999988,0.8813466666666658,15,0.0672,92,1.4404082298278809,13.46229999999997,0.8974866666666647,15,0.0981,123,1.958843231201172,13.288199999999987,,15,0.0646,154,2.514522075653076,13.524599999999994,0.9016399999999996,15,0.0858,131,8.341719150543213,13.719999999999992,0.914666666666666,15,0.1126,275,11.206455945968628,13.9427,0.9295133333333332,15,0.1502,299,12.234003067016602,13.638900000000003,,15,0.1176,158,10.756930112838743
12,39,0.4824401595445327,0.4736842105263157,2,15,12.01679999999997,0.801119999999998,15,0.0085,35,0.5691359043121338,13.047799999999974,0.8698533333333316,15,0.0311,42,0.645819902420044,13.145599999999984,0.8763733333333322,15,0.0338,49,0.7581300735473633,13.628599999999985,0.9085733333333323,15,0.0576,102,1.5197370052337646,13.227199999999984,,15,0.0395,84,1.3475439548492432,13.31559999999998,,15,0.0424,92,1.5104081630706787,13.858899999999982,0.9239266666666656,15,0.0841,165,7.003870010375977,13.637499999999989,,15,0.0644,189,9.335418224334717,13.907999999999989,0.9271999999999992,15,0.0998,179,10.84176516532898,14.079499999999998,0.9386333333333332,15,0.1212,190,14.26689100265503
12,80,0.4893680161156357,0.4210526315789473,2,16,12.475699999999971,0.7797312499999982,16,0.0107,28,0.4628012180328369,13.660499999999988,0.8537812499999993,16,0.0414,50,0.7448611259460449,13.832499999999992,0.8645312499999995,16,0.0455,58,0.8753538131713867,14.326299999999984,0.895393749999999,16,0.0819,75,1.1334619522094729,14.2984,,16,0.0846,140,2.1610138416290283,14.457399999999998,0.9035875,16,0.0989,119,1.8709781169891355,14.457599999999983,0.9035999999999992,16,0.1094,169,8.380306005477905,14.682099999999997,0.9176312499999998,16,0.1236,171,8.362178087234497,15.144099999999996,0.9465062499999998,16,0.2391,211,11.152841091156006,15.366599999999991,0.9604124999999996,16,0.2812,172,2.968449831008911
12,52,0.4971874368229603,0.4736842105263157,2,15,12.018099999999968,0.8012066666666644,15,0.0085,30,0.4937629699707031,13.022599999999994,0.8681733333333329,15,0.0297,47,0.7203903198242188,13.038899999999972,0.8692599999999981,15,0.0297,53,0.8303070068359375,13.356299999999994,0.8904199999999995,15,0.0421,70,1.0710499286651611,13.348699999999983,,15,0.0394,98,1.517289161682129,13.57399999999999,0.9049333333333326,15,0.0627,169,2.793025016784668,14.042599999999998,0.9361733333333332,15,0.1196,216,8.066550016403198,14.1815,0.9454333333333332,15,0.1446,163,10.267374038696287,14.072900000000002,,15,0.1174,177,10.339421033859251,13.748899999999994,,15,0.0759,156,11.022407054901125
12,1,0.5029913366131069,0.4736842105263157,2,15,11.756999999999978,0.7837999999999986,15,0.0072,31,0.5216798782348633,12.833499999999988,0.8555666666666659,15,0.0323,53,0.8693721294403076,13.485899999999972,0.8990599999999982,15,0.0755,51,0.815403938293457,13.925899999999997,0.928393333333333,15,0.1362,68,1.0596449375152588,14.143999999999998,0.9429333333333332,15,0.1634,105,1.597628831863403,14.280999999999992,0.9520666666666664,15,0.1976,97,1.5433778762817385,14.334100000000005,0.9556066666666668,15,0.2033,124,1.972970962524414,14.4682,0.9645466666666668,15,0.2555,194,3.1144890785217285,14.5026,0.96684,15,0.2716,186,3.056227207183838,14.341499999999987,,15,0.2115,206,3.536979913711548
12,13,0.5257578517658885,0.4210526315789473,2,16,12.142299999999969,0.758893749999998,16,0.0113,30,0.4884858131408691,13.360499999999975,0.8350312499999986,16,0.0544,62,0.9739880561828612,14.244799999999984,0.890299999999999,16,0.1054,61,0.9276061058044434,14.803400000000002,0.9252125,16,0.1895,83,1.236125946044922,15.097299999999992,0.9435812499999996,16,0.2366,126,1.8541650772094729,14.170999999999989,,16,0.101,156,2.519545793533325,14.898699999999993,,16,0.1879,158,10.554057836532593,14.892599999999996,,16,0.2073,226,10.786297082901,15.11629999999999,0.9447687499999994,16,0.2582,306,12.99226999282837,15.090999999999998,,16,0.2438,147,12.644138097763062
