N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
12,56,0.6427936836240118,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 8), (7, 9), (8, 11), (9, 10), (10, 11)]"
12,22,0.6444534688419212,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,46,0.6546289003737815,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 10), (8, 9), (8, 11), (9, 11), (10, 11)]"
12,64,0.6816610924193753,0.3157894736842105,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,11,0.6858811184532589,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,54,0.6930799730983024,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 11)]"
12,34,0.7120303881340684,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,37,0.7121235752156574,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,76,0.7205943201031051,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 6), (5, 9), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,23,0.7367177870131512,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,84,0.7415990261534766,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,58,0.7438570448031392,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 9), (7, 11), (8, 10), (8, 11), (9, 10)]"
12,70,0.7462497637976657,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,28,0.7487164853271118,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,12,0.7576124211266242,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,53,0.7676672481322289,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 9), (7, 11), (8, 10), (8, 11), (10, 11)]"
12,17,0.779603120089817,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,79,0.7802023604217778,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 7), (6, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,3,0.7828147490343831,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,31,0.7831221074740267,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,61,0.7837322826259818,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11)]"
12,68,0.8166257820542011,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,77,0.8382961374337956,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 8), (5, 9), (6, 9), (6, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
