N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time
10,2,0.4343492042766925,0.5276381909547738,2,12,9.840700000000009,0.8200583333333339,12,0.0133,30,0.444659948348999,10.421899999999996,0.8684916666666664,12,0.0345,72,0.9126079082489014,10.417099999999998,,12,0.0262,72,0.9192519187927246,10.203599999999996,,12,0.0233,90,1.1593210697174072,10.390199999999997,,12,0.0354,116,1.4838969707489014,10.550400000000002,0.8792000000000001,12,0.0664,136,1.7723519802093506,10.800599999999992,0.9000499999999994,12,0.0522,188,2.444521903991699,9.1397,,11,0.0227,144,1.9793767929077148,11.1604,0.9300333333333334,12,0.1228,211,2.822378635406494,9.816299999999996,,12,0.0921,294,4.168422222137451
10,6,0.6390695311371388,0.4422110552763819,2,13,10.08999999999999,0.7761538461538453,13,0.0196,34,0.439997911453247,10.730699999999992,0.825438461538461,13,0.0442,64,0.7865757942199707,11.3459,0.8727615384615385,13,0.1063,91,1.116167068481445,11.554999999999987,0.888846153846153,13,0.1246,164,2.0386102199554443,11.588000000000005,0.8913846153846156,13,0.1639,109,1.3814201354980469,11.42259999999999,,13,0.1041,103,1.3090388774871826,8.626199999999994,,13,0.0175,136,1.8670921325683592,11.111200000000007,,13,0.0792,223,3.0100080966949463,11.890499999999998,0.914653846153846,13,0.1889,201,2.715524911880493,11.571599999999997,,13,0.1316,290,4.019883871078491
10,1,0.6409976277655733,0.4371859296482412,2,13,9.8225,0.755576923076923,13,0.0173,35,0.4502060413360595,10.565099999999994,0.8126999999999995,12,0.0366,49,0.6069459915161133,10.497799999999986,,13,0.047,67,0.8429300785064697,9.96879999999999,,12,0.0739,75,0.9603090286254884,10.40449999999999,,13,0.0386,124,1.5959396362304688,11.413899999999998,0.8779923076923075,13,0.1092,141,1.7843410968780518,11.720199999999997,0.9015538461538456,13,0.1542,172,2.207768201828003,11.7678,0.9052153846153844,13,0.1518,148,1.973844051361084,12.5313,0.9639461538461538,13,0.3354,231,3.028214931488037,9.324799999999986,,13,0.0235,150,2.135459899902344
10,3,0.8123253869791451,0.4120603015075377,2,13,9.954099999999997,0.7656999999999997,13,0.0177,30,0.3972699642181396,10.601899999999992,0.8155307692307686,13,0.0451,47,0.6089308261871338,11.140699999999995,0.8569769230769227,13,0.1052,82,1.015782117843628,7.93229999999999,,11,0.018,67,0.8814258575439453,10.581900000000005,,13,0.0439,152,1.9613869190216064,11.249599999999992,0.8653538461538456,13,0.1043,148,1.9044842720031736,11.191499999999998,,13,0.0987,147,1.9412827491760256,11.035999999999994,,13,0.0838,169,2.306403636932373,11.780099999999996,0.9061615384615382,13,0.1963,283,3.797048091888428,11.328799999999998,,13,0.1599,256,3.575474977493286
10,9,0.8477263128040935,0.457286432160804,2,13,10.118500000000004,0.778346153846154,13,0.0209,32,0.4125230312347412,10.590599999999984,0.8146615384615372,13,0.0398,60,0.7466769218444824,11.108699999999995,0.8545153846153842,13,0.0746,67,0.8488750457763672,9.442899999999993,,12,0.0236,94,1.2207739353179932,11.128199999999987,0.8560153846153837,13,0.1181,143,1.8532071113586424,11.263499999999995,0.8664230769230765,13,0.0964,151,1.9133970737457275,11.191199999999988,,13,0.1218,150,1.991420030593872,10.7251,,13,0.0722,244,3.3037290573120117,11.716299999999991,0.9012538461538456,13,0.1797,213,2.852059841156006,11.9175,0.9167307692307692,13,0.2057,297,4.082664251327515
10,14,0.9822899434057925,0.321608040201005,2,15,10.406000000000008,0.6937333333333339,15,0.0517,27,0.3670341968536377,11.357900000000004,0.7571933333333336,15,0.1208,49,0.6222410202026367,11.493200000000003,0.7662133333333335,15,0.1439,62,0.7960500717163086,13.222499999999998,0.8814999999999998,15,0.3154,126,1.60809588432312,12.602999999999998,,15,0.2543,160,2.0702121257781982,13.310399999999994,0.8873599999999996,15,0.3231,167,2.148068904876709,12.314000000000018,,15,0.2755,183,2.4938597679138184,13.360200000000008,0.8906800000000005,15,0.3265,273,3.633070230484009,13.9613,0.9307533333333334,15,0.4156,261,3.5784990787506104,13.678399999999996,,15,0.3934,410,5.6920928955078125
10,17,1.018974040317156,0.3517587939698492,2,15,10.402400000000013,0.6934933333333342,15,0.0524,28,0.3785698413848877,11.270500000000007,0.7513666666666673,15,0.1273,52,0.6595590114593506,12.035200000000014,0.8023466666666675,15,0.1868,129,1.598391056060791,12.445699999999986,0.8297133333333324,15,0.2574,187,2.3523879051208496,12.287000000000011,,15,0.2208,145,1.862898826599121,13.452200000000005,0.8968133333333337,15,0.3499,115,1.5139288902282717,11.2852,,15,0.229,176,2.430208921432495,13.697700000000005,0.9131800000000002,15,0.3879,233,3.1069188117980957,13.552700000000003,,15,0.3671,237,3.211986303329468,14.496800000000004,0.9664533333333336,15,0.4562,253,3.4587018489837646
