N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Optimal_cut,p1_expected_cut,p1_approx_ratio,p1_most_prob_cut,p1_most_prob_prob,p1_iterations,p1_time,p2_expected_cut,p2_approx_ratio,p2_most_prob_cut,p2_most_prob_prob,p2_iterations,p2_time,p3_expected_cut,p3_approx_ratio,p3_most_prob_cut,p3_most_prob_prob,p3_iterations,p3_time,p4_expected_cut,p4_approx_ratio,p4_most_prob_cut,p4_most_prob_prob,p4_iterations,p4_time,p5_expected_cut,p5_approx_ratio,p5_most_prob_cut,p5_most_prob_prob,p5_iterations,p5_time,p6_expected_cut,p6_approx_ratio,p6_most_prob_cut,p6_most_prob_prob,p6_iterations,p6_time,p7_expected_cut,p7_approx_ratio,p7_most_prob_cut,p7_most_prob_prob,p7_iterations,p7_time,p8_expected_cut,p8_approx_ratio,p8_most_prob_cut,p8_most_prob_prob,p8_iterations,p8_time,p9_expected_cut,p9_approx_ratio,p9_most_prob_cut,p9_most_prob_prob,p9_iterations,p9_time,p10_expected_cut,p10_approx_ratio,p10_most_prob_cut,p10_most_prob_prob,p10_iterations,p10_time,p11_expected_cut,p11_approx_ratio,p11_most_prob_cut,p11_most_prob_prob,p11_iterations,p11_time,p12_expected_cut,p12_approx_ratio,p12_most_prob_cut,p12_most_prob_prob,p12_iterations,p12_time,p13_expected_cut,p13_approx_ratio,p13_most_prob_cut,p13_most_prob_prob,p13_iterations,p13_time,p14_expected_cut,p14_approx_ratio,p14_most_prob_cut,p14_most_prob_prob,p14_iterations,p14_time,p15_expected_cut,p15_approx_ratio,p15_most_prob_cut,p15_most_prob_prob,p15_iterations,p15_time,p16_expected_cut,p16_approx_ratio,p16_most_prob_cut,p16_most_prob_prob,p16_iterations,p16_time,p17_expected_cut,p17_approx_ratio,p17_most_prob_cut,p17_most_prob_prob,p17_iterations,p17_time,p18_expected_cut,p18_approx_ratio,p18_most_prob_cut,p18_most_prob_prob,p18_iterations,p18_time,p19_expected_cut,p19_approx_ratio,p19_most_prob_cut,p19_most_prob_prob,p19_iterations,p19_time,p20_expected_cut,p20_approx_ratio,p20_most_prob_cut,p20_most_prob_prob,p20_iterations,p20_time
12,5,1.611774,0.631578947368421,34,14,11.894199999999978,0.8495857142857127,14,0.0062,29,0.49521827697753906,12.583499999999992,0.898821428571428,14,0.0123,68,0.9980261325836182,12.899099999999988,0.9213642857142849,14,0.0154,76,1.0904457569122314,12.558699999999993,0.8970499999999995,14,0.013,83,1.2659070491790771,13.059999999999985,0.9328571428571417,14,0.0341,122,1.8279800415039062,12.664099999999975,0.9045785714285696,14,0.0252,92,1.4447968006134033,10.432499999999973,0.7451785714285695,12,0.0069,135,2.4158987998962402,11.175099999999967,0.7982214285714262,14,0.0094,140,2.5446979999542236,13.117799999999978,0.9369857142857126,14,0.0176,226,3.887779951095581,13.745899999999997,0.9818499999999998,14,0.0307,295,4.99492883682251,13.263499999999986,0.9473928571428561,14,0.0212,281,4.97438907623291,9.940399999999975,0.7100285714285697,14,0.0063,237,4.7645180225372314,13.204200000000002,0.943157142857143,14,0.0271,305,5.733875036239624,12.124299999999954,0.8660214285714253,14,0.0203,358,7.128750801086426,9.828899999999969,0.7020642857142835,12,0.0107,261,5.560549020767212,12.841299999999968,0.917235714285712,14,0.0195,347,7.065876007080078,9.894399999999964,0.7067428571428546,14,0.0094,313,7.022853851318359,12.061499999999981,0.861535714285713,14,0.0304,394,8.699355840682983,13.083399999999981,0.9345285714285702,14,0.0255,450,9.669312000274658,11.218799999999996,0.8013428571428569,14,0.0317,400,9.348993062973022
12,7,1.5097822741973117,0.631578947368421,28,14,11.896399999999971,0.8497428571428551,14,0.0057,31,0.4766829013824463,12.702699999999988,0.9073357142857134,14,0.0181,43,0.6375789642333984,12.70209999999999,0.9072928571428565,14,0.0128,70,1.0305769443511963,12.942299999999987,0.9244499999999991,14,0.0191,87,1.314284086227417,12.440299999999961,0.8885928571428544,14,0.0125,130,2.0504589080810547,13.051999999999996,0.932285714285714,14,0.0244,125,1.916715145111084,13.709999999999996,0.979285714285714,14,0.0351,220,3.391652822494507,10.95340000000001,0.7823857142857149,14,0.0091,186,3.360816240310669,13.226599999999996,0.9447571428571425,14,0.0276,224,3.8078670501708984,13.122599999999995,0.9373285714285711,14,0.0201,258,4.560291767120361,13.251800000000006,0.9465571428571433,14,0.0214,265,4.713090896606445,13.261599999999977,0.9472571428571411,14,0.0293,240,4.358599901199341,10.791199999999982,0.7707999999999987,14,0.0128,266,5.463425874710083,11.663599999999953,0.8331142857142824,14,0.015,247,5.033203840255737,13.609499999999992,0.9721071428571423,14,0.0402,356,6.870467901229858,11.153899999999995,0.7967071428571425,14,0.0074,500,10.770021915435791,12.848100000000011,0.9177214285714294,14,0.022,415,8.79372501373291,13.389099999999997,0.9563642857142856,14,0.036,495,10.6020667552948,12.704499999999989,0.907464285714285,14,0.0193,411,8.992341995239258,13.022899999999991,0.9302071428571422,14,0.0227,500,11.373779773712158
12,15,1.348825946949067,0.5789473684210527,18,14,11.655299999999949,0.832521428571425,14,0.0055,33,0.5036940574645996,12.49359999999999,0.8923999999999993,14,0.0147,61,0.8908736705780029,12.460199999999984,0.8900142857142846,14,0.0141,73,1.0919232368469238,12.364899999999988,0.883207142857142,14,0.0124,90,1.3818068504333496,12.29399999999998,0.8781428571428557,14,0.015,106,1.6704461574554443,12.822499999999993,0.9158928571428566,14,0.0222,102,1.593163013458252,12.989899999999999,0.92785,14,0.0265,148,2.4316439628601074,12.576099999999995,0.8982928571428568,14,0.0177,182,3.097874879837036,13.249299999999984,0.9463785714285703,14,0.0351,174,2.939577102661133,12.769500000000003,0.912107142857143,14,0.0227,223,3.995879888534546,12.959699999999971,0.9256928571428551,14,0.0262,373,6.783109903335571,12.772999999999973,0.912357142857141,14,0.0258,249,4.636873006820679,9.890299999999991,0.7064499999999994,12,0.0055,205,4.206796884536743,13.125699999999982,0.9375499999999988,14,0.0296,364,6.853824138641357,12.980499999999978,0.9271785714285699,14,0.0306,495,10.12103819847107,10.34659999999998,0.7390428571428557,14,0.0067,262,5.789069652557373,12.859299999999973,0.9185214285714266,14,0.0294,425,8.97326111793518,13.361799999999986,0.9544142857142848,14,0.0397,500,10.385592222213745,11.958799999999957,0.854199999999997,14,0.0072,373,8.379575967788696,11.15299999999998,0.7966428571428557,14,0.0128,493,11.524013757705688
12,20,1.4388201528095903,0.5789473684210527,10,14,11.900999999999975,0.8500714285714268,14,0.0064,33,0.5096769332885742,12.53789999999998,0.8955642857142843,14,0.0133,62,0.9020240306854248,12.58929999999997,0.8992357142857121,14,0.0127,59,0.9004878997802734,12.488299999999981,0.8920214285714272,14,0.0106,84,1.307758092880249,12.368399999999966,0.8834571428571404,14,0.0137,82,1.3353230953216553,12.659199999999972,0.9042285714285694,14,0.0203,93,1.4821560382843018,12.860399999999995,0.9185999999999996,14,0.0149,152,2.499782085418701,13.209099999999996,0.9435071428571425,14,0.0242,144,2.4352099895477295,12.983699999999985,0.9274071428571418,14,0.0197,175,3.103503704071045,13.144799999999995,0.9389142857142854,14,0.02,274,4.805001974105835,13.254599999999991,0.9467571428571422,14,0.0279,236,4.309078931808472,13.119499999999974,0.937107142857141,14,0.0208,300,5.478977203369141,10.589399999999966,0.7563857142857119,14,0.0081,276,5.7137908935546875,13.617799999999985,0.9726999999999989,14,0.0352,365,6.918137073516846,9.694799999999972,0.6924857142857123,12,0.004,250,5.425467252731323,13.282399999999983,0.9487428571428559,14,0.0233,500,10.130239963531494,13.588099999999995,0.9705785714285711,14,0.0345,399,8.209407806396484,13.5681,0.96915,14,0.0352,500,10.457507133483887,13.143899999999984,0.9388499999999989,14,0.0247,370,7.9605488777160645,13.6361,0.974007142857143,14,0.04,412,8.985473155975342
12,26,1.5207497157665202,0.5789473684210527,26,14,11.889999999999974,0.8492857142857124,14,0.0067,29,0.450268030166626,12.839499999999992,0.9171071428571423,14,0.0215,79,1.1341190338134766,13.247899999999998,0.9462785714285713,14,0.0329,67,0.9654581546783447,13.2124,0.9437428571428572,14,0.0283,104,1.539896011352539,12.675699999999978,0.9054071428571413,14,0.0173,127,1.995171070098877,13.136299999999995,0.9383071428571425,14,0.0244,124,1.9264247417449951,13.173799999999988,0.9409857142857134,14,0.0274,155,2.5012378692626953,12.615199999999971,0.9010857142857123,14,0.0188,168,2.876210927963257,12.911299999999986,0.9222357142857133,14,0.0211,198,3.3868231773376465,11.908499999999998,0.8506071428571428,14,0.0223,193,3.549931049346924,13.306199999999993,0.9504428571428567,14,0.0317,205,3.667288064956665,13.511099999999987,0.9650785714285705,14,0.0387,323,5.868067741394043,10.84359999999998,0.7745428571428558,14,0.0186,222,4.531720876693726,11.196699999999971,0.7997642857142837,14,0.0181,239,4.898979187011719,12.757999999999987,0.9112857142857134,14,0.0183,360,7.246924877166748,10.785999999999982,0.7704285714285701,14,0.005,280,6.0530030727386475,10.973199999999991,0.7837999999999994,14,0.0344,373,8.192797183990479,13.58739999999999,0.9705285714285707,14,0.0367,457,9.501017808914185,13.577599999999993,0.9698285714285709,14,0.0401,500,10.810597896575928,9.444199999999952,0.6745857142857109,8,0.0074,306,7.234983205795288
12,44,1.6404277649074324,0.6842105263157894,36,14,12.179899999999973,0.8699928571428552,14,0.0078,28,0.4339587688446045,12.549499999999966,0.8963928571428548,14,0.0094,47,0.702610969543457,12.908499999999984,0.9220357142857132,14,0.0135,78,1.160640001296997,13.564099999999984,0.9688642857142845,14,0.0283,96,1.4128901958465576,13.01779999999998,0.9298428571428557,14,0.0135,105,1.639502763748169,13.215999999999998,0.9439999999999998,14,0.0171,116,1.824242115020752,13.407599999999997,0.957685714285714,14,0.0246,152,2.5054492950439453,13.548499999999983,0.9677499999999988,14,0.0264,217,3.534968137741089,13.25809999999997,0.9470071428571407,14,0.0182,218,3.7219913005828857,13.371399999999996,0.9550999999999997,14,0.0206,224,3.948324203491211,13.3121,0.9508642857142856,14,0.0246,244,4.347848892211914,13.699500000000004,0.9785357142857146,14,0.0291,342,6.1444151401519775,13.145499999999986,0.9389642857142847,14,0.0151,275,5.176656007766724,13.468800000000002,0.9620571428571429,14,0.0229,342,6.616410255432129,12.93199999999998,0.9237142857142844,14,0.0214,315,6.42022180557251,10.687399999999972,0.7633857142857122,12,0.0063,286,6.270845174789429,13.271199999999984,0.947942857142856,14,0.0202,500,10.485759019851685,13.368799999999988,0.9549142857142848,14,0.0257,397,8.412262201309204,13.474799999999995,0.962485714285714,14,0.0245,500,10.731215238571167,12.901099999999975,0.9215071428571411,14,0.0225,480,10.819581747055054
12,59,1.4899100336343487,0.5263157894736842,24,14,11.904999999999946,0.850357142857139,14,0.0063,36,0.5503320693969727,12.140299999999973,0.8671642857142838,14,0.0099,42,0.6470248699188232,13.095599999999987,0.935399999999999,14,0.0229,81,1.212947130203247,9.846799999999966,0.7033428571428547,12,0.0049,73,1.2589950561523438,13.250199999999984,0.9464428571428559,14,0.0262,100,1.5564947128295898,13.165099999999986,0.9403642857142848,14,0.0212,107,1.6998059749603271,13.071799999999977,0.9336999999999983,14,0.0192,168,2.740656852722168,10.565799999999978,0.7546999999999985,14,0.0049,120,2.2258479595184326,13.13999999999999,0.9385714285714278,14,0.0238,197,3.399134874343872,10.903599999999988,0.7788285714285706,14,0.0045,199,3.8964948654174805,13.700299999999991,0.9785928571428565,14,0.0379,340,6.014384031295776,13.437399999999972,0.9598142857142837,14,0.0344,307,5.771697998046875,13.281199999999984,0.9486571428571418,14,0.0245,343,6.5889060497283936,13.743899999999998,0.9817071428571428,14,0.0386,272,5.142213821411133,13.26109999999998,0.9472214285714271,14,0.0229,267,5.325086832046509,13.02949999999999,0.9306785714285707,14,0.0247,313,6.381750822067261,9.901699999999966,0.7072642857142833,12,0.0068,247,5.552908897399902,9.880399999999964,0.7057428571428546,8,0.0034,282,6.595728874206543,11.350299999999969,0.810735714285712,14,0.0103,385,8.919324159622192,10.036799999999987,0.7169142857142848,14,0.0025,381,9.374094009399414
12,72,1.505438431615552,0.4736842105263157,12,16,12.457999999999982,0.7786249999999989,16,0.0137,28,0.43685007095336914,13.494099999999968,0.843381249999998,16,0.0267,49,0.7394099235534668,14.431399999999979,0.9019624999999987,16,0.0427,75,1.1320528984069824,14.422699999999962,0.9014187499999976,16,0.0374,84,1.287843942642212,13.601099999999986,0.8500687499999992,16,0.0329,80,1.3098230361938477,15.194599999999987,0.9496624999999992,16,0.0502,133,2.059091806411743,14.817499999999987,0.9260937499999992,16,0.0444,131,2.158111095428467,14.64389999999998,0.9152437499999988,16,0.0464,194,3.2848970890045166,15.16369999999999,0.9477312499999994,16,0.0579,192,3.2593257427215576,15.19579999999999,0.9497374999999993,16,0.064,276,4.743532180786133,14.377999999999984,0.898624999999999,16,0.0344,261,4.7730419635772705,11.304399999999951,0.706524999999997,16,0.012,259,5.2698891162872314,10.152799999999978,0.6345499999999986,12,0.0205,237,4.936385154724121,14.922599999999992,0.9326624999999995,16,0.0459,500,10.105064868927002,15.375899999999989,0.9609937499999993,16,0.0598,411,8.054101943969727,15.190399999999979,0.9493999999999987,16,0.0582,500,10.299347162246704,15.379499999999986,0.9612187499999991,16,0.061,500,10.403351068496704,15.201299999999994,0.9500812499999997,16,0.0634,500,10.69296908378601,14.126799999999989,0.8829249999999993,16,0.0221,500,11.072097063064575,10.438499999999962,0.6524062499999976,12,0.0258,349,8.266571998596191
12,18,0.3626392243729324,0.5263157894736842,2,15,12.017699999999959,0.8011799999999972,15,0.0065,32,0.4977538585662842,12.583199999999975,0.8388799999999983,15,0.0168,43,0.6543211936950684,13.179499999999992,0.8786333333333328,15,0.0363,86,1.2554638385772705,10.754099999999976,0.7169399999999985,14,0.0069,76,1.2766950130462646,13.308099999999998,0.8872066666666665,15,0.0568,133,2.063525915145874,13.200299999999979,0.8800199999999986,15,0.043,106,1.6767590045928955,13.46599999999999,0.8977333333333327,15,0.0479,217,3.5441911220550537,13.05799999999998,0.870533333333332,15,0.023,185,3.13742995262146,13.668199999999995,0.911213333333333,15,0.0677,241,4.1391661167144775,13.54769999999998,0.9031799999999987,15,0.0565,237,4.1757659912109375,13.067099999999977,0.8711399999999985,15,0.048,258,4.729115009307861,13.319799999999994,0.8879866666666663,15,0.0416,318,5.908232927322388,14.00949999999999,0.9339666666666661,15,0.1362,233,4.303663969039917,13.860300000000002,0.9240200000000002,15,0.0741,372,7.1347010135650635,10.220699999999983,0.6813799999999989,14,0.0055,235,5.09033989906311,9.038699999999968,0.6025799999999979,9,0.003,229,5.130175828933716,13.651099999999994,0.910073333333333,15,0.0669,476,9.846314907073975,13.92719999999999,0.9284799999999993,15,0.1389,400,8.35676383972168,13.531399999999971,0.9020933333333314,15,0.0601,427,9.201112031936646,9.153300000000002,0.6102200000000001,9,0.0029,319,7.79462194442749
12,6,0.3847549489337361,0.5263157894736842,2,15,12.015299999999955,0.8010199999999971,15,0.0066,35,0.5375800132751465,12.794599999999983,0.8529733333333323,15,0.0204,53,0.7830491065979004,13.224599999999974,0.8816399999999983,15,0.0352,69,1.0295300483703613,13.610499999999991,0.9073666666666661,15,0.0545,106,1.6189651489257812,13.350099999999976,0.8900066666666651,15,0.0469,124,1.9351909160614014,13.193799999999984,0.8795866666666655,15,0.0422,117,1.8462300300598145,13.411200000000001,0.8940800000000001,15,0.0518,172,2.753034830093384,10.458599999999977,0.6972399999999985,14,0.004,185,3.421103000640869,13.349199999999971,0.8899466666666648,15,0.038,209,3.601846694946289,13.370699999999989,0.8913799999999993,15,0.0255,350,6.161942958831787,13.47719999999999,0.8984799999999993,15,0.0422,344,6.117831230163574,13.6704,0.9113600000000001,15,0.0606,225,4.070070028305054,10.942799999999977,0.7295199999999985,12,0.0052,300,6.172940015792847,12.095999999999984,0.8063999999999989,14,0.0176,293,5.890106916427612,10.318699999999984,0.6879133333333323,15,0.0068,301,6.476672172546387,11.470999999999982,0.7647333333333322,15,0.0135,419,9.033813953399658,12.699200000000006,0.8466133333333338,15,0.0553,493,10.446481943130493,11.49289999999998,0.766193333333332,14,0.0111,365,8.148461818695068,13.291799999999997,0.8861199999999998,15,0.0362,463,9.875327110290527,13.889199999999995,0.9259466666666664,15,0.0922,500,10.755338907241821
