N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
10,2,0.4342568692213602,0.5299993091463872,2,12,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,6,0.6390350886655538,0.44085637826757823,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,1,0.6409361449113273,0.43538916891513924,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,3,0.8122699132801108,0.41380744361755184,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
10,9,0.8477217952401084,0.45761980926795937,2,13,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (7, 9), (8, 9)]"
10,14,0.9821304951035978,0.31938484645908316,2,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,17,1.0185287566692258,0.35414720980828024,2,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]"
