N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
14,258,0.23932449133858213,0.4836945917928273,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (7, 11), (8, 10), (8, 12), (9, 10), (9, 13), (11, 12), (11, 13), (12, 13)]"
14,119,0.2828089909965765,0.48086610353100256,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 12), (8, 11), (8, 13), (9, 12), (9, 13), (10, 13), (11, 12)]"
14,41,0.2904289717080122,0.4902385073994305,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 12), (9, 12), (9, 13), (10, 13), (11, 12), (11, 13)]"
14,88,0.2907221338017685,0.5170146547566716,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 12), (9, 12), (10, 11), (10, 13), (11, 13), (12, 13)]"
14,87,0.3039146398194852,0.48600409781765885,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 12), (10, 13), (11, 12), (11, 13), (12, 13)]"
14,136,0.30989353827173716,0.4810126828771378,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 12), (9, 13), (10, 12), (11, 13), (12, 13)]"
14,180,0.3166399154132016,0.47552306509077363,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 12), (8, 13), (9, 12), (9, 13), (10, 11), (10, 12), (11, 13)]"
14,102,0.3199520579670967,0.49021778641557784,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 12), (9, 11), (9, 13), (10, 13), (11, 12), (12, 13)]"
14,290,0.3366788015575839,0.48072947985311654,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 11), (8, 12), (9, 12), (9, 13), (10, 12), (10, 13), (11, 13)]"
14,127,0.3383555187903493,0.4838527311029865,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 12), (10, 13), (11, 12), (11, 13), (12, 13)]"
14,311,0.34156603763098303,0.48190230214630936,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 11), (7, 12), (8, 11), (8, 13), (9, 12), (10, 11), (10, 13), (12, 13)]"
14,101,0.3416710908486511,0.5027945281096389,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 12), (9, 11), (9, 13), (10, 12), (11, 13), (12, 13)]"
14,502,0.3440156215035888,0.4825468317577225,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 10), (6, 11), (7, 12), (8, 13), (9, 10), (9, 12), (10, 13), (11, 12), (11, 13)]"
14,202,0.3481180170503535,0.47424899906026685,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 12), (10, 12), (10, 13), (11, 13), (12, 13)]"
14,118,0.3499666732837454,0.4634416542064787,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 12), (8, 11), (8, 13), (9, 12), (9, 13), (10, 11), (12, 13)]"
14,197,0.35020641535909824,0.4784328818254151,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 8), (7, 11), (9, 10), (9, 12), (10, 13), (11, 12), (11, 13), (12, 13)]"
14,285,0.35083431287670663,0.48479073410375373,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 10), (8, 12), (9, 12), (9, 13), (10, 13), (11, 12), (11, 13)]"
14,313,0.3539062908119863,0.4677571472230527,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 8), (7, 9), (8, 10), (9, 12), (10, 13), (11, 12), (11, 13), (12, 13)]"
14,1,0.36058977534078274,0.45824810138241945,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 7), (6, 8), (7, 8), (8, 9), (9, 10), (9, 11), (10, 12), (10, 13), (11, 12), (11, 13), (12, 13)]"
14,507,0.362651967699108,0.4877548512318015,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 10), (5, 8), (5, 11), (6, 12), (7, 9), (7, 11), (8, 12), (9, 10), (10, 13), (11, 13), (12, 13)]"
14,64,0.3635640382836929,0.46527315445096074,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 12), (8, 13), (9, 10), (9, 11), (10, 12), (11, 13), (12, 13)]"
14,110,0.3641215349402884,0.4773108615240775,2,18,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 11), (7, 12), (8, 11), (9, 12), (9, 13), (10, 11), (10, 13), (12, 13)]"
