Graph_ID,Original_Delta_min,Trial,Weights,Weighted_Delta_min,s_at_min,Gap_Change_Percent,Num_Evals,Weight_Attempts,Trial_Time_s
18,0.3566568660281488,1,"[np.float64(0.8116262258099887), np.float64(1.9063571821788405), np.float64(1.4907884894416696), np.float64(1.2374511199743694), np.float64(0.3964354168406294), np.float64(0.39638958863878504), np.float64(0.21035886311957896), np.float64(1.7457346769723767), np.float64(1.2421185223120967), np.float64(1.4453378978124864), np.float64(0.13911053916202465), np.float64(1.942828719107789), np.float64(1.6816410175208012), np.float64(0.5034443102887247), np.float64(0.4454674376934912), np.float64(0.44846856872152424), np.float64(0.6780602616231216), np.float64(1.097037220101252)]",0.23903425545758594,0.5873088235430318,-32.97920824585488,13,1,0.27928614616394043
18,0.3566568660281488,2,"[np.float64(0.9206955354200199), np.float64(0.6533353663762796), np.float64(1.262520499972521), np.float64(0.36503833523887946), np.float64(0.6550748322169144), np.float64(0.7960875022580142), np.float64(0.9665329700123683), np.float64(1.5918343266467259), np.float64(0.4793801861008835), np.float64(1.077045432985862), np.float64(1.2255876808378807), np.float64(0.18825578416799568), np.float64(1.2543352186127328), np.float64(0.4239958350058539), np.float64(0.22359802667203107), np.float64(1.9028825207813331), np.float64(1.9347008628416626), np.float64(1.635954961421276)]",0.263117322391194,0.6028132236616272,-26.226760942146633,8,1,0.14076972007751465
18,0.3566568660281488,3,"[np.float64(0.6787661614294043), np.float64(0.28557701661212936), np.float64(1.400042750373098), np.float64(0.9362897381052424), np.float64(0.3318726462050798), np.float64(1.0408361292114132), np.float64(0.16533819011891496), np.float64(1.8277087639496858), np.float64(0.5916819650400321), np.float64(1.3587923402725657), np.float64(0.6922510445698808), np.float64(1.0881292402378404), np.float64(1.1387495307522313), np.float64(0.45122346549850134), np.float64(1.9422107927526613), np.float64(1.5727523643861177), np.float64(1.8850479889719591), np.float64(1.8001719658125328)]",0.23706196704051585,0.6052411078286514,-33.53220150209978,12,1,0.3050367832183838
18,0.3566568660281488,4,"[np.float64(1.2360099597410616), np.float64(1.8515610465439218), np.float64(0.268135753898647), np.float64(0.47236743859637587), np.float64(0.18593184893002232), np.float64(0.7181276284502022), np.float64(0.8384868504100158), np.float64(0.6155631603704023), np.float64(1.6746012673886657), np.float64(0.7778313207178196), np.float64(0.6337755684060234), np.float64(1.131122558000672), np.float64(0.367756027452049), np.float64(1.6241742634326752), np.float64(0.24164622299156457), np.float64(1.9750851795409827), np.float64(1.567265061663649), np.float64(0.47755979491492756)]",0.4660212469380065,0.4970499204771799,30.66375312713768,9,1,0.15552210807800293
18,0.3566568660281488,5,"[np.float64(0.11049202253484457), np.float64(1.6493767140641848), np.float64(1.4430289533104725), np.float64(1.4851136192778758), np.float64(1.5654136587032967), np.float64(0.2406848382947717), np.float64(0.7810848842341179), np.float64(0.32015121309774647), np.float64(1.7398965091636276), np.float64(1.28426644097236), np.float64(0.7287062472200334), np.float64(0.2207608655434449), np.float64(0.6908664112597581), np.float64(0.7178483118508193), np.float64(1.4862517388423218), np.float64(1.3113591955749049), np.float64(1.7857042108950203), np.float64(0.9972083578077037)]",0.4576404978681019,0.43428098763651896,28.313945828252496,9,1,0.1444392204284668
18,0.3566568660281488,6,"[np.float64(0.32722906728277323), np.float64(1.4551650957236903), np.float64(1.545491592372105), np.float64(1.1664266753820427), np.float64(1.5648376419136658), np.float64(1.0382116330923423), np.float64(1.0931923758257887), np.float64(0.9123279348812443), np.float64(0.14829634081378087), np.float64(0.3049937112872785), np.float64(0.15971545280479507), np.float64(1.3091797814011827), np.float64(0.6972763640450207), np.float64(1.0662843132129352), np.float64(1.8243763004595768), np.float64(0.5736552353828623), np.float64(0.8797275537676965), np.float64(1.5355471632317925)]",0.05025564449110931,0.7722819716799333,-85.90924519391056,9,1,0.2695810794830322
18,0.3566568660281488,7,"[np.float64(0.5347165144340826), np.float64(0.2462618286747067), np.float64(0.6505277605361592), np.float64(0.4063204457826084), np.float64(1.8664255394508888), np.float64(1.6354287211723921), np.float64(1.3034671373698046), np.float64(1.7557751213566635), np.float64(1.6269769461083174), np.float64(0.45448311188346807), np.float64(1.7958620971309578), np.float64(1.1247502596397363), np.float64(1.6341362948117188), np.float64(1.8025734698546372), np.float64(0.7042066024465413), np.float64(0.30909865660258584), np.float64(0.5330768088296892), np.float64(0.911504798389887)]",0.5989680116003626,0.3996339572317013,67.93957123850511,11,1,0.14309906959533691
18,0.3566568660281488,8,"[np.float64(1.6542280552527369), np.float64(1.7353881081870524), np.float64(0.11320904800926235), np.float64(1.0704198748973748), np.float64(0.8930809059826801), np.float64(0.5220048398943875), np.float64(0.32774419793399734), np.float64(0.7414688256668931), np.float64(1.8915284374337864), np.float64(0.7140855708394349), np.float64(1.0857021813123955), np.float64(1.435736021900838), np.float64(0.7908962445206585), np.float64(1.9463859571698252), np.float64(1.9286498603900113), np.float64(0.5783863620681918), np.float64(1.0447721611955323), np.float64(0.6716687886518623)]",0.15339179375707523,0.7794605448912733,-56.9917732230146,9,1,0.2421281337738037
18,0.3566568660281488,9,"[np.float64(0.6411969393171885), np.float64(0.17008519997361232), np.float64(1.258172234561804), np.float64(1.0550901441348368), np.float64(0.19780962737497976), np.float64(0.6294282820495617), np.float64(1.825705183336642), np.float64(0.5551675922672475), np.float64(0.37530025697332386), np.float64(1.0299602445273697), np.float64(1.9727358628101412), np.float64(0.5599050158718508), np.float64(1.377057540071169), np.float64(1.5470772691245633), np.float64(0.5515113335855594), np.float64(1.4836110623625332), np.float64(0.798787952166581), np.float64(1.301381078127801)]",0.45233651604903535,0.596103602222861,26.826807257745365,12,1,0.28093600273132324
18,0.3566568660281488,10,"[np.float64(1.3037064504456999), np.float64(1.1179718997420411), np.float64(0.2715505631033758), np.float64(1.6870747416195522), np.float64(0.709482123446298), np.float64(0.45438516975972304), np.float64(0.17747276895405145), np.float64(1.2226965920576593), np.float64(1.3873722875003365), np.float64(0.1315168749629267), np.float64(1.0729768107686337), np.float64(0.5303419728760821), np.float64(1.3258283017779546), np.float64(0.43129621510948374), np.float64(1.4127817023946851), np.float64(0.834797157971021), np.float64(1.8797869785997956), np.float64(0.3612897938773872)]",0.24619152380008646,0.6105277560693834,-30.972442352853495,8,1,0.16304516792297363
